inventory,substance,cas,use,matched_nutrient_id,pack,score,alt_matches
indirect_additives,POLY(ALLYL METHACRYLATE-CO-VINYLIDENE CHLORIDE),977143-88-6,,chloride,A,80,
indirect_additives,POLY(AMYL FUMARATE-CO-VINYL CHLORIDE),977176-59-2,,chloride,A,80,
indirect_additives,POLY(AMYL MALEATE-CO-VINYL CHLORIDE),70560-17-7,,chloride,A,80,
indirect_additives,"POLY(1,3,5-BENZENETRICARBONYL TRICHLORIDE-CO-PIPERAZINE)",79122-60-4,,chloride,A,80,
indirect_additives,"POLY(BENZOYL CHLORIDE-3,4-DICARBOXYLIC ANHYDRIDE-CO-4,4'-DIPHENYLMETHANEDIAMINE)",25928-85-2,,chloride,A,80,
indirect_additives,"POLY(N,N'-BIS(3-AMINOPROPYL)ETHYLENEDIAMINE-CO-ISOPHTHALOYL CHLORIDE-CO-POLY(N-METHYLVINYLAMINE)-CO-TRIMESOYLCHLORIDE)",127455-44-1,,chloride,A,80,
indirect_additives,POLY(BISPHENOL A-CO-ISOPHTHALOYL CHLORIDE-CO-PHOSGENE-CO-TEREPHTHALOYL CHLORIDE),71519-80-7,,chloride,A,80,
indirect_additives,POLY(BUTADIENE-CO-METHYL METHACRYLATE-CO-STYRENE-CO-VINYL CHLORIDE),28210-08-4,,chloride,A,80,
indirect_additives,POLY(BUTYL ACRYLATE-CO-METHYL METHACRYLATE-CO-VINYL CHLORIDE),25767-42-4,,chloride,A,80,
indirect_additives,POLY(BUTYL ACRYLATE-CO-VINYL CHLORIDE-CO-VINYLIDENE CHLORIDE),28680-83-3,,chloride,A,80,
indirect_additives,POLY(BUTYL ACRYLATE-CO-VINYLIDENE CHLORIDE),9011-09-0,,chloride,A,80,
indirect_additives,POLY(BUTYL FUMARATE-CO-VINYL CHLORIDE),977176-58-1,,chloride,A,80,
indirect_additives,POLY(BUTYL MALEATE-CO-VINYL CHLORIDE),28476-83-7,,chloride,A,80,
indirect_additives,POLY(BUTYL METHACRYLATE-CO-VINYLIDENE CHLORIDE),977036-16-0,,chloride,A,80,
indirect_additives,"POLY(CALCIUM 2,4-DIAMINOBENZENESULFONATE-CO-ISOPHTHALOYL CHLORIDE-CO-M-PHENYLENEDIAMINE-CO-TEREPHTHALOYL CHLORIDE)",39443-76-0,,calcium,A,80,chloride(80)
indirect_additives,"POLY(CYANURIC CHLORIDE-CO-TERT-OCTYLAMINE-CO-1,6-BIS(2,2,6,6-TETRAMETHYL-4-PIPERIDYLAMINO)HEXANE)",70624-18-9,,chloride,A,80,
indirect_additives,"POLY(CYCLOHEXYL METHACRYLATE-CO-ETHYL METHACRYLATE-CO-SODIUM N-(CARBOXYMETHYL)-N,N-DIMETHYL-2-((2-METHYL-1-OXO-2-PROPENYL)OXY)ETHANAMINIUM CHLORIDE-CO-STEARYL METHACRYLATE-CO-VINYLPYRROLIDINE)",66822-60-4,,chloride,A,80,sodium(80)
indirect_additives,POLY(DIALLYLDIMETHYLAMMONIUM CHLORIDE),26062-79-3,,chloride,A,80,
indirect_additives,POLY(DIBUTYL FUMARATE-CO-DIBUTYL MALEATE-CO-VINYL CHLORIDE),977097-60-1,,chloride,A,80,
indirect_additives,POLY(DIBUTYL MALEATE-CO-GLYCIDYL METHACRYLATE-CO-VINYL CHLORIDE),977176-65-0,,chloride,A,80,
indirect_additives,POLY(DIETHYLENETRIAMINE-CO-LINOLEIC ACID DIMER),37189-83-6,,linoleic_acid,A,100,
indirect_additives,"POLY(1,1-DIFLUOROETHENE-CO-HEXAFLUOROPROPENE)",9011-17-0,,fluoride,A,80,
indirect_additives,"POLY(1,1-DIFLUOROETHENE-CO-HEXAFLUOROPROPENE-CO-TETRAFLUOROETHENE)",25190-89-0,,fluoride,A,80,
indirect_additives,"POLY(ETHYL ACRYLATE-CO-MALEIC ANHYDRIDE-CO-VINYL ACETATE), HYDROLYZED, POTASSIUM SALT",127279-01-0,,potassium,A,80,
indirect_additives,"POLY(ETHYL ACRYLATE-CO-MALEIC ANHYDRIDE-CO-VINYL ACETATE), HYDROLYZED, SODIUM SALT",111560-38-4,,sodium,A,80,
indirect_additives,POLY(ETHYL ACRYLATE-CO-METHACRYLAMIDE-CO-N-METHYLOLMETHACRYLAMIDE-CO-VINYLIDENE CHLORIDE),90077-56-8,,chloride,A,80,
indirect_additives,POLY(ETHYL ACRYLATE-CO-METHYL METHACRYLATE-CO-VINYL CHLORIDE),54302-11-3,,chloride,A,80,
indirect_additives,POLY(ETHYL ACRYLATE-CO-VINYL CHLORIDE),25035-97-6,,chloride,A,80,
indirect_additives,"POLY(ETHYLENE-CO-ISOBUTYL ACRYLATE-CO-METHACRYLIC ACID), POTASSIUM SALT",93228-27-4,,potassium,A,80,
indirect_additives,"POLY(ETHYLENE-CO-ISOBUTYL ACRYLATE-CO-METHACRYLIC ACID), SODIUM SALT",61615-65-4,,sodium,A,80,
indirect_additives,"POLY(ETHYLENE-CO-ISOBUTYL ACRYLATE-CO-METHACRYLIC ACID), SODIUM ZINC SALT",977107-96-2,,sodium,A,80,
indirect_additives,"POLY(ETHYLENE-CO-METHACRYLIC ACID-CO-VINYL ACETATE), POTASSIUM PARTIAL SALT",977115-19-7,,potassium,A,80,
indirect_additives,POLY(ETHYLENE-CO-VINYL ACETATE-CO-VINYL CHLORIDE),25085-46-5,,chloride,A,80,
indirect_additives,POLY(ETHYLENE-CO-VINYL CHLORIDE),25037-78-9,,chloride,A,80,
indirect_additives,POLY(ETHYLENEDIAMINE-CO-LINOLEIC ACID DIMER),12624-35-0,,linoleic_acid,A,100,
indirect_additives,"POLYETHYLENE GLYCOL MONO-ISOTRIDECYL ETHER SULFATE, SODIUM SALT",150413-26-6,,sodium,A,80,
indirect_additives,POLY(ETHYL FUMARATE-CO-VINYL CHLORIDE),977176-56-9,,chloride,A,80,
indirect_additives,POLY(ETHYL METHACRYLATE-CO-METHYL-METHACRYLATE-CO-VINYLIDENE CHLORIDE),977034-87-9,,chloride,A,80,
indirect_additives,POLY(FORMALDEHYDE-CO-SODIUM NAPHTHALENESULFONATE),9008-63-3,,sodium,A,80,
indirect_additives,POLY(FUMARIC ACID-CO-VINYL ACETATE-CO-VINYL CHLORIDE),32650-26-3,,chloride,A,80,
indirect_additives,POLY(FUMARIC ACID-CO-VINYL CHLORIDE),36562-75-1,,chloride,A,80,
indirect_additives,POLY(GLYCIDYL METHACRYLATE-CO-VINYL ACETATE-CO-VINYL CHLORIDE),26781-49-7,,chloride,A,80,
indirect_additives,POLY(GLYCIDYL METHACRYLATE-CO-VINYL CHLORIDE-CO-VINYLIDENE CHLORIDE),31668-42-5,,chloride,A,80,
indirect_additives,POLY(HEPTYL FUMARATE-CO-VINYL CHLORIDE),977176-61-6,,chloride,A,80,
indirect_additives,POLY(HEPTYL MALEATE-CO-VINYL CHLORIDE),977100-70-1,,chloride,A,80,
indirect_additives,POLY(HEXYL FUMARATE-CO-VINYL CHLORIDE),977176-60-5,,chloride,A,80,
indirect_additives,POLY(HEXYL MALEATE-CO-VINYL CHLORIDE),977100-71-2,,chloride,A,80,
indirect_additives,POLY(2-HYDROXYETHYL ACRYLATE-CO-VINYLIDENE CHLORIDE),114464-65-2,,chloride,A,80,
indirect_additives,POLY(ITACONIC ACID-CO-METHYL ACRYLATE-CO-VINYLIDENE CHLORIDE),25249-60-9,,chloride,A,80,
