Downloaded from FDA GRAS Notices; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=GRASNotices; Last updated 7/31/2026; downloaded 8/2/2026.

GRAS Notice (GRN) No.,Substance,Intended Use,Basis,Notifier,Notifier Address,Date of filing,GRN Part 1,GRN Part 2,GRN Part 3,GRN Part 4,GRN Part 5,GRN Part 6,GRN Part 7,Date of closure,Date of correction letter,FDA's Letter,Date additional correspondence,Additional correspondence,Date additinoal correspondence 2,Additional correspondence 2,Date additional correspondence 3,Additional correspondence 3,Date additional correspondence 4,Additional correspondence 4,Resubmission,Resubmitted,Notes,Related submission
=T("69")," Behenic acid"," Use in margarine, shortening, and food products that require the use of semi-solid and solid fats as a texturizer at levels up to 8 percent of the oil mass of the food product"," Scientific procedures"," Thixo Limited"," 2 Hashaked Street; Ness Ziona, 74104 ISRAEL",02/15/2001," GRN 69 (in PDF)",,,,,,,05/14/2001,," FDA has no questions",,,,,,,,,,,,
=T("70")," Stearyl alcohol"," Use in margarine, shortening, and food products that require the use of semi-solid and solid fats as a texturizer at levels up to 10 percent of the oil mass of the food product"," Scientific procedures"," Thixo Limited"," 2 Hashaked Street; Ness Ziona, 74104 ISRAEL",02/21/2001," GRN 70 (in PDF)",,,,,,,04/23/2001,," FDA has no questions",,,,,,,,,,,,
=T("71")," White mineral oil, USP (viscosity ISO 100 )"," Use on potato processing equipment as a sprayed release agent resulting in a presence on food at no more than 5 parts per million"," Scientific procedures"," American Ingredients Company"," 3947 Broadway; Kansas City, MO 64111",03/07/2001," GRN 71 (in PDF)",,,,,,,04/20/2001,," FDA has no questions",,,,,,,,,=T("40"),,,
=T("72")," Pullulanase derived from <i>Bacillus licheniformis</i> carrying a gene encoding pullulanase from <i>B. deramificans</i>"," Use in the manufacture of starch hydrolysates and high fructose corn syrup as a processing aid at a minimum level necessary in accordance with good manufacturing practice"," Scientific procedures"," Genencor International Inc."," 925 Page Mill Road; Palo Alto, CA 94304",03/10/2001," GRN 72 (in PDF)",,,,,,,06/12/2001,," FDA has no questions",,,,,,,,,,," Incorporates GRAS Affirmation Petition"," GRP 5G0415"
=T("73")," Shrimp-derived chitosan"," Use in foods in general for multiple technical effects in accordance with good manufacturing practice"," Scientific procedures"," Primex Ingredients ASA"," Karmsund Fiskerihavn; P.O. Box 114; N-4299 Avaldsnes, NORWAY",03/14/2001," GRN 73 (in PDF)",,,,,,,01/31/2002,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
=T("74")," Beta-cyclodextrin"," Use in baked goods prepared from dry mixes, breakfast cereal, chewing gum, gelatins and puddings, dry mix for soups, flavored coffee and tea, compressed candies, processed cheese products, flavored savory snacks and crackers, dry mix for beverages as a flavor carrier or protectant at varying levels"," Scientific procedures"," Wacker Biochem Corp."," 3301 Sutton Road; Adrian, MI 49221",03/28/2001," GRN 74 (in PDF)",,,,,,,10/25/2001,," FDA has no questions",,,,,,,,,,,,
=T("75")," Lipase derived from <i>Aspergillus oryzae</i> carrying a gene encoding lipase from <i>Fusarium oxysporum</i>"," Use in the fats and oils industry, the baking industry, the hydrolysis of lecithin, and the modification of egg yolks as a processing aid at a minimum level necessary in accordance with good manufacturing practices"," Scientific procedures"," Novozymes North America Inc."," 77 Perry Chapel Church Rd.; Box 576; Franklinton, NC 27525",04/13/2001," GRN 75 (in PDF)",,,,,,,08/14/2001,," FDA has no questions",,,,,,,,,,,,
=T("76")," Erythritol"," Use in bakery fillings, cakes and cookies, chewing gum, dairy drinks, fat-based cream used in modified fat/calorie cookies, pastries, hard candies, frozen dairy desserts, puddings, reduced and low-calorie beverages, soft candies, sugar substitutes and yogurt as a flavor enhancer, formulation aid, humectant, nutritive sweetener, stabilizer and thickener, sequestrant, and texturizer at varying levels"," Scientific procedures"," Cerestar Holding B.V."," Havenstraat 84; B-1800 Vilvoorde; BELGIUM",04/30/2001," GRN 76 (in PDF)",,,,,,,09/11/2001,," FDA has no questions",,,,,,,,,,,,
=T("77")," Milk-derived lactoferrin"," Ingredient in sports and functional foods at a level of 100 milligrams per product serving"," Scientific procedures"," DMV International"," 1712 Deltown Plaza; Fraser; NY 13753",05/04/2001," GRN 77 (in PDF)",,,,,,,08/14/2001,," FDA has no questions",,,,,,,,,=T("42"),,,
=T("78")," D-Tagatose"," Use in diet/sugar-free carbonated beverages, ready-to-eat cereals, sugar-less/sugar-free chewing gum, low calorie ready-to-drink tea beverages, icings or glazes used on baked goods, frozen dairy desserts, bars, hard candies, dietetic soft candies, and meal replacements as a bulk sweetener, humectant, texturizer or stabilizer at varying levels"," Scientific procedures"," Arla Foods Ingredients amba"," Skanderborgvej 277; P.O. Box 2510; DK-8260 Viby; DENMARK",05/11/2001," GRN 78 (in PDF)",,,,,,,10/25/2001,," FDA has no questions",,,,,,,,,,,,
=T("79")," alpha-Amylase derived from <i>Bacillus licheniformis</i> carrying a gene encoding a modified alpha-amylase from <i>Bacillus licheniformis</i>"," Use as a processing aid for the liquefaction of starch in the production of syrups and for the thinning of starch in distilling mashes in the production of alcohol. The alpha-amylase enzyme preparation is used at minimum levels necessary to achieve the intended effects. The recommended use level for the alpha-amylase enzyme preparation is 0.35 kilogram per ton of starch."," Scientific procedures"," Novozymes North America Inc."," 77 Perry Chapel Church Rd., Box 576, Franklinton, NC 27525",07/03/2001," GRN 79 (in PDF)",,,,,,,12/19/2001,," FDA has no questions",,,,,,,,,,,,
=T("80")," ARASCO (arachidonic acid-rich single-cell oil)"," Provide ARASCO (as a source of arachidonic acid) in term infant formula, at a maximum level of 1.88 percent of total dietary fat when used in combination with DHASCO (docosahexaenoic acid-rich single-cell oil; as a source of docosahexaenoic acid) at a maximum level of 1.25 per cent of the total dietary fat and at a ratio ranging from 1:1 to 1:2 (DHASCO:ARASCO)"," Scientific procedures"," Mead Johnson Nutritionals"," 2400 West Lloyd Expressway, Evansville, IN 47721",08/06/2001," GRN 80 part 1 (in PDF)"," GRN 80 part 2 with amendments (in PDF)",,,,,,12/11/2001,," FDA has no questions",,,,,,,,,,,,
=T("81")," Lipase from <i>Candida rugosa</i>"," Use on fats and oils to produce fatty acids or glycerides at a level up to one percent of the weight of the fat or oil; use in the esterification of fatty acids to produce glycerides at a level up to one percent of the weight of the fatty acids"," Scientific procedures"," Amano Enzyme, Inc."," 2-7, 1-Chome, Nishiki, Naka-ku, Nagoya 460, JAPAN",09/05/2001," GRN 81 (in PDF)",,,,,,,02/07/2002,," FDA has no questions",,,,,,,,,,,,
=T("82")," 1,1,1,2-Tetrafluoroethane (HFC-134a)"," Use in the production of food flavors and flavorings as an extraction solvent"," Scientific procedures"," INEOS Fluor, Ltd."," Runcorn Technical Centre, P.O. Pox 13, The Heath, Runcorn, Cheshire WA7 4QF, UNITED KINGDOM",09/04/2001," GRN 82 (in PDF)",,,,,,,06/05/2002,," FDA has no questions",,,,,,,,,,,,
=T("83")," Carbon monoxide"," Use in the packaging of fresh cuts of muscle meat and ground meat as a component of a gas mixture in a modified atmosphere packaging system to maintain wholesomeness, provide flexibility in distribution, and reduce shrinkage within a system that results in traditional product display to consumers in fresh cuts of muscle meat or ground meat"," Scientific procedures"," Pactiv Corporation"," 1900 West Field Court, Lake Forest, IL 60045",09/04/2001," GRN 83 part 1 (in PDF)"," GRN 83 part 2 with amendments (in PDF)",,,,,,02/21/2002,," FDA has no questions",,,,,,,,,,,,
=T("84")," Arabinogalactan from Eastern Larch (<i>Larix laricina</i>)"," Use in foods in general, including meat and poultry products, for multiple technical effects"," Scientific procedures"," Larex, Inc."," 4815 White Bear Parkway, White Bear Lake, MN 55110",09/06/2001," GRN 84 (in PDF)",,,,,,,02/19/2002,," FDA has no questions",,,,,,,,,,,,
=T("85")," Isoamylase from <i>Pseudomonas amyloderamosa</i>"," Use as a debranching enzyme that hydrolyzes alpha-1,6-glucosidic linkages in glycogen, amylopectin, and their alpha-limit dextrins"," Scientific procedures"," Hayashibara International, Inc."," 8670 Wolff Court, Suite 200, Westminster, CO 80030",09/21/2001," GRN 85 (in PDF)",,,,,,,02/19/2002,," FDA has no questions",,,,,,,,,,,,
=T("86")," Coagulated potato protein, hydrolyzed potato protein, or clarified hydrolyzed potato protein"," Use in foods in general, including meat products, as a substitute for other protein products that accomplish a range of functional effects (such as water binding, emulsifying, and foaming)"," Scientific procedures"," AVEBE b.a."," Prins Hendrikplein 20, 9641 GK Veendam, NETHERLANDS",10/22/2001," GRN 86 (in PDF)",,,,,,,04/03/2002,," FDA has no questions",,,,,,,,,,,,
=T("87")," Composite filtration media (diatomaceous earth and perlite)"," Use in food processing as a filtration aid"," Scientific procedures"," World Minerals, Inc."," 2500 Miguelito Road, Lompoc, CA 93436",11/06/2001," GRN 87 (in PDF)",,,,,,,02/26/2002,," FDA has no questions",,,,,,,,,,,,
=T("88")," Invertase enzyme preparation from <i>Saccharomyces cerevisiae</i> and lactase enzyme preparation from <i>Kluyveromyces marxianus</i>"," Use in foods in general as an enzyme in accordance with current good manufacturing practices"," Common use in food"," Enzyme Technical Association"," 1800 Massachusetts Avenue, N.W., Second Floor, Washington, DC 20036",11/16/2001," GRN 88 (in PDF)",,,,,,,04/03/2002,," FDA has no questions",,,,,,,,,,," Incorporates GRAS Affirmation Petition"," GRP 3G0016"
=T("89")," Five enzyme preparations from <i>Aspergillus niger</i>: Carbohydrase enzyme preparation, catalase enzyme preparation, glucose oxidase enzyme preparation, pectinase enzyme preparation, and protease enzyme preparation"," Use in foods in general as an enzyme in accordance with current good manufacturing practices"," Common use in food"," Enzyme Technical Association"," 1800 Massachusetts Avenue, N.W., Second Floor, Washington, DC 20036",11/16/2001," GRN 89 (in PDF)",,,,,,,04/03/2002,," FDA has no questions",01/13/2004," Additional correspondence",,,,,,,,," Incorporates GRAS Affirmation Petition"," GRP 3G0016"
=T("90")," Carbohydrase enzyme preparation from <i>Aspergillus oryzae</i>, protease enzyme preparation from <i>Aspergillus oryzae</i>, and carbohydrase enzyme preparation from <i>Rhizopus oryzae</i>"," Use in foods in general as an enzyme in accordance with current good manufacturing practices"," Common use in food"," Enzyme Technical Association"," 1800 Massachusetts Avenue, N.W., Second Floor, Washington, DC 20036",11/16/2001," GRN 90 (in PDF)",,,,,,,04/04/2002,," FDA has no questions",01/13/2004," Additional correspondence",,,,,,,,," Incorporates GRAS Affirmation Petition"," GRP 3G0016"
=T("91")," Mycoprotein"," Use in food in general, excluding meat products, poultry products, and infant formula"," Scientific procedures"," Marlow Foods Ltd."," Station Road Stokesley, North Yorkshire TS9 7AB, UNITED KINGDOM",12/03/2001," GRN 91 (in PDF)",,,,,,,01/07/2002,," FDA has no questions",09/28/2023," Additional correspondence",,,,,,,,,,
=T("92")," Sucrose fatty acid esters"," Use in beta carotene color preparations intended for use in orange-colored beverages such as soft drinks and juice beverages as an emulsifier at a maximum level of 2 per cent of the beta-carotene color preparation"," Scientific procedures"," Mitsubishi Chemical Corporation"," 5-2, Marunochi 2-chome, Chiyoda-ku, Tokyo 100-0005 JAPAN",12/12/2001," GRN 92 (in PDF)",,,,,,,02/04/2002,," Notice does not provide a basis for a GRAS determination",,,,,,,,,,=T("129"),,
=T("93")," Grape seed extract and grape skin extract"," Use in fruit juice and fruit flavored beverages as an antioxidant to prevent deterioration at a composite total concentration up to 210 parts per million"," Scientific procedures"," Polyphenolics, Inc."," 12667 Road 24, Madera, CA 93637",12/17/2001," GRN 93 (in PDF)",,,,,,,06/05/2002,," Notice does not provide a basis for a GRAS determination",,,,,,,,,,=T("125"),,
=T("94")," Docosahexaenoic acid-rich oil from tuna (DHA-rich tuna oil) and arachidonic acid-rich oil from <i>Mortierella alpina<i> (AA-rich fungal oil)"," Provide arachidonic acid (AA) at a mean level of 0.4 percent of total fatty acids and docosahexaenoic acid (DHA) at a mean level of 0.25 percent of total fatty acids in preterm infant formula used by hospitalized premature infants; AA at a mean level of 0.4 percent of total fatty acids and DHA at a mean level of 0.15 percent of total fatty acids in preterm infant formula used by post-discharge premature infants; and AA at a mean level of 0.4 percent of total fatty acids and DHA at a mean level of 0.15 percent of total fatty acids in term infant formula"," Scientific procedures"," Ross Products Division, Abbott Laboratories"," 625 Cleveland Avenue, Columbus, OH 43215-1724",01/02/2002," GRN 94 part 1 (in PDF)"," GRN 94 part 2 (in PDF)",,,,,,04/18/2006,," FDA has no questions",,,,,,,,,,,,
=T("95")," Transglutaminase from <i>Streptoverticillium mobaraense</i>"," Use in food in general as a crosslinking agent"," Scientific procedures"," Ajinomoto USA"," 1120 Connecticut Ave, NW Suite 416 Washington, DC 20036",01/03/2002," GRN 95 (in PDF)",,,,,,,07/03/2002,," FDA has no questions",,,,,,,,,,,,
=T("96")," Silk protein food powder"," Use in food as a source of protein"," Scientific procedures"," The New Silk Road, Inc."," Box 105, Montpelier, VT 05601",01/03/2002," GRN 96 (in PDF)",,,,,,,05/20/2002,," Notice does not provide a basis for a GRAS determination",,,,,,,,,,,,
=T("97")," Tuna oil"," Use in food as described in 21 CFR 184.1472(a)(3) with respect to food categories and the level of use in those food categories"," Scientific procedures"," Clover Corporation Limited"," Level 5, 231 Miller Street, P.O. Box 458, North Sydney NSW 2060, AUSTRALIA",01/25/2002," GRN 97 (in PDF)",,,,,,,06/24/2002,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,=T("109"),,
=T("98")," Small planktivorous pelagic fish body oil"," Use in food as described in 21 CFR 184.1472(a)(3) with respect to food categories and the level of use in those food categories"," Scientific procedures"," Jedwards International"," 10 Furnace Brook Parkway, Quincy, MA 02169",02/11/2002," GRN 98 (in PDF)",,,,,,,03/25/2002,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,=T("102"),,
=T("99")," Pullulan"," Use in food in general, including meat products, for multiple technical effects"," Scientific procedures"," Hayashibara International"," 8670 Wolff Court, Suite 200, Westminster, CO 80030",03/01/2002," GRN 99 (in PDF)",,,,,,,08/01/2002,," FDA has no questions",,,,,,,,,,,,
=T("100")," D-Ribose"," Use in food in general, including meat and poultry products, for multiple technical effects"," Scientific procedures"," Bioenergy, Inc."," 13840 Johnson St. N.E., Ham Lake, MN 55304",03/14/2002," GRN 100 (in PDF)",,,,,,,09/03/2002,," Notice does not provide a basis for a GRAS determination",,,,,,,,,,=T("243"),,
=T("101")," <i>Spirulina</i>"," Ingredient in foods such as bars, powdered nutritional drink mixes, and as a condiment in salads and pasta, at levels ranging from 0.5 to 3 grams per serving size"," Scientific procedures"," Cyanotech Corporation<br /> AND <br /> Earthrise Nutritionals, Inc."," 73-4460 Queen Kaahumanu Hwy, #102, Kailua-Kona HI 96740 <br />AND <br /> Earthrise Nutritionals, Inc.; 424 Payran Street, Petaluma, CA 94952",03/19/2002," GRN 101 (in PDF)",,,,,,,05/28/2002,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,=T("127"),,
