Downloaded from FDA Inventory of Food Contact Substances Listed in 21 CFR; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=IndirectAdditives; Last updated 5/4/2026; downloaded 8/2/2026.

"Consult the regulation(s) cited to see if your substance is authorized for your intended use."

CAS Registry No. (or other ID),Substance,Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg01,Reg02,reg03,reg04,reg05,reg06,reg07,reg08,reg09,reg10,reg11,reg12,reg13,reg14,reg15,reg16,reg17,reg18,reg19,reg20,reg21,Reg prohibited189,regs Labeling-Standards,Other Names,SYN01,SYN02,SYN03,SYN04,SYN05,SYN06,SYN07,SYN08,SYN09,SYN10,SYN11,SYN12,SYN13,SYN14,SYN15,SYN16,SYN17,SYN18,SYN19
" 977063-82-3"," ALCOHOLS(C12-13), SYNTHETIC, PRIMARY",,,,,,,=T("178.3910"),,,,,,,,,,,,,,,,,,,,,,," FATTY ALCOHOLS(C12-13)"," ALCOHOLS(C12-13)",,,,,,,,,,,,,,,,,,
" 977063-83-4"," ALCOHOLS(C12-15), SYNTHETIC, PRIMARY",,,,,,,=T("178.3910"),,,,,,,,,,,,,,,,,,,,,,," FATTY ALCOHOLS(C12-15)"," ALCOHOLS(C12-15)"," C12-15 ALCOHOLS"," C12-15 FATTY ALCOHOLS",,,,,,,,,,,,,,,,
" 9005-34-9"," ALGINATE, AMMONIUM",,,,,,,=T("173.310"),=T("178.3900"),=T("184.1133"),,,,,,,,,,,,,,,,,,,,," AMMONIUM ALGINATE"," ALGINIC ACID, AMMONIUM SALT",,,,,,,,,,,,,,,,,,
" 68603-42-9"," ALKANOLAMIDE OF COCONUT OIL FATTY ACIDS AND DIETHANOLAMINE",,,,,,,=T("173.322"),=T("176.180"),=T("176.210"),=T("177.2800"),,,,,,,,,,,,,,,,,,,," COCOYL DIETHANOLAMIDE"," ALKANOLAMIDE OF COCONUT OIL FATTY ACIDS AND DIETHANOLAMINE"," AMIDES, COCO, N,N-BIS(HYDROXYETHYL)"," COCONUT FATTY ACID DIETHANOLAMINE CONDENSATE"," COCONUT OIL FATTY ACIDS DIETHANOLAMIDE"," COCONUT OIL DIETHANOLAMIDE"," DIETHANOLAMINE, COCONUT FATTY ACIDS CONDENSATE"," N,N-BIS(HYDROXYETHYL)COCO AMIDE",,,,,,,,,,,,
" 68784-12-3"," (2-ALKENYL(C15-21))SUCCINIC ANHYDRIDE",,,,,,,=T("176.170"),,,,,,,,,,,,,,,,,,,,,,," (2-ALKENYL(C15-21))SUCCINIC ANHYDRIDE"," ALKENYLSUCCINIC ANHYDRIDE, C15-20"," (2-ALKENYL)SUCCINIC ANHYDRIDE, C15-21"," C15-21 (2-ALKENYL)SUCCINIC ANHYDRIDE"," DIHYDRO-2,5-FURANDIONE, MONO-C15-20-ALKENYL DERIVATIVES"," MONO-C15-20-ALKENYL DERIVATIVES OF DIHYDRO-2,5-FURANDIONE"," 2-ALKENYL(C15-21)SUCCINIC ANHYDRIDE"," 2,5-FURANDIONE, DIHYDRO-, MONO-C15-20-ALKENYL DERIVS.",,,,,,,,,,,,
" 70983-55-0"," (2-ALKENYL(C30-53))SUCCINIC ANHYDRIDE",,,,,,,=T("175.105"),=T("176.180"),,,,,,,,,,,,,,,,,,,,,," (2-ALKENYL(C30-53))SUCCINIC ANHYDRIDE"," (2-ALKENYL)SUCCINIC ANHYDRIDE, C30-53"," C30-53 (2-ALKENYL)SUCCINIC ANHYDRIDE"," MONOALKENYL(C30-53)-2,5-FURANDIONE"," 2,5-FURANDIONE, DIHYDRO-, MONO-C30-53-2-ALKENYL DERIVS."," 2-ALKENYL(C30-53)SUCCINIC ANHYDRIDE",,,,,,,,,,,,,,
" 977044-01-1"," ALKENYL(C16-18)DIMETHYLETHYL-AMMONIUM BROMIDE",,,,,,,=T("176.300"),,,,,,,,,,,,,,,,,,,,,,," ALKENYL(C16-18)ETHYLDIMETHYLAMMONIUM BROMIDE"," ALKENYL(C16-18)DIMETHYLETHYLAMMONIUM BROMIDE"," C16-18 ALKENYLETHYLDIMETHYLAMMONIUM BROMIDE",,,,,,,,,,,,,,,,,
" 977074-52-4"," ALKOXY(C10-16)-2,3-EPOXYPROPANE",,,,,,,=T("175.300"),=T("177.1390"),=T("177.1650"),,,,,,,,,,,,,,,,,,,,," ALKOXY(C10-16)-2,3-EPOXYPROPANE"," ALKYL(C10-16) GLYCIDYL ETHER"," ALKYL GLYCIDYL ETHYL, C10-16",,,,,,,,,,,,,,,,,
" 977098-20-6"," ALKYL(C8-18) ACETATE, WITH EVEN NUMBER OF CARBON ATOMS",,,,,,,=T("178.3910"),,,,,,,,,,,,,,,,,,,,,,," ALKYL(C8-18) ACETATE"," C8-18 ALKYL ACETATE"," FATTY ALCOHOL(C8-10) ACETATE"," ACETATE ESTER OF SYNTHETIC STRAIGHT CHAIN ALCOHOL C8-18",,,,,,,,,,,,,,,,
" 68187-67-7"," ALKYL AMINE ISOOCTYL PHOSPHATE, C12-14",,,,,,,=T("178.3570"),,,,,,,,,,,,,,,,,,,,,,," ALKYL AMINE ISOOCTYL PHOSPHATE, C11-14"," ALKYL(C11-14)AMINE ISOOCTYL PHOSPHATE"," AMINES, C12-14-ALKYL, ISOOCTYL PHOSPHATES"," C11-14 ALKYL AMINE ISOOCTYL PHOSPHATE",,,,,,,,,,,,,,,,
" 977037-51-6"," 1-ALKYL(C6-18)AMINO-3-AMINOPROPANE MONOACETATE",,,,,,,=T("175.105"),=T("181.30"),,,,,,,,,,,,,,,,,,,,,," 1-ALKYL(C6-18)AMINO-3-AMINOPROPANE MONOACETATE"," N-ALKYL(C6-18)TRIMETHYLENEDIAMINE ACETATE",,,,,,,,,,,,,,,,,,
" 85409-23-0"," ALKYL(C12-14)DIMETHYL(ETHYLBENZYL)AMMONIUM CHLORIDE",,,,,,,=T("178.1010"),,,,,,,,,,,,,,,,,,,,,,," ALKYL(C12-14)DIMETHYL(ETHYLBENZYL)AMMONIUM CHLORIDE"," ALKYLDIMETHYL(ETHYLBENZYL)AMMONIUM CHLORIDE, C12-14"," C12-14 ALKYL((ETHYLPHENYL)METHYL)DIMETHYLAMMONIUM CHLORIDE"," C12-14 ALKYL(ETHYLBENZYL)DIMETHYLAMMONIUM CHLORIDE"," QUATERNARY AMMONIUM COMPOUNDS, C12-14-ALKYL((ETHYLPHENYL)METHYL)DIMETHYL, CHLORIDES",,,,,,,,,,,,,,,
" 977162-92-7"," ALKYL(C7-12)BENZENE",,,,,,,=T("175.105"),,,,,,,,,,,,,,,,,,,,,,," ALKYL(C7-12)BENZENE"," C7-12 ALKYLBENZENE",,,,,,,,,,,,,,,,,,
